,img,title,url,language_type
26,https://cdn.inflearn.com/public/courses/324030/course_cover/159651c0-3994-463b-8ece-be3b4c52709c/pandas_bje.png,단 두 장의 문서로 데이터 분석과 시각화 뽀개기,https://www.inflearn.com/course/%ED%8C%90%EB%8B%A4%EC%8A%A4-pandas,data-analysis
27,https://cdn.inflearn.com/public/courses/286688/course_cover/b08e32cb-597e-4af8-9f13-fd4b0562e4fb/pje-public-data-analysis-eng-2.png,공공데이터로 파이썬 데이터 분석 시작하기,https://www.inflearn.com/course/%EA%B3%B5%EA%B3%B5%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%A1%9C-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%EC%8B%9C%EC%9E%91%ED%95%98%EA%B8%B0,data-analysis
28,https://cdn.inflearn.com/public/courses/327848/cover/dbde1c2d-b7bd-4f36-82c4-2718c32b0f24/327848-eng-2.png,"핵심만 쉽게, 모두의 SQL 데이터 분석",https://www.inflearn.com/course/sql-%EB%AA%A8%EB%91%90%EC%9D%98-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D,data-analysis
29,https://cdn.inflearn.com/public/courses/327464/cover/55c4db7b-7764-43cc-ac75-d9e8d08098f1/327464-eng.png,처음하는 파이썬 머신러닝 부트캠프 (쉽게! 실제 문제로 개념/활용 익히기) [데이터과학 Part2],https://www.inflearn.com/course/%EC%B2%98%EC%9D%8C-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%9E%85%EB%AC%B8,data-analysis
30,https://cdn.inflearn.com/public/courses/326564/cover/adc58c73-be2a-471d-8c3e-50b2881bebe6/326564-eng.png,데이터 분석을 위한 파이썬: 입문부터 꿀팁까지,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B8%B0%EC%B4%88,data-analysis
31,https://cdn.inflearn.com/public/courses/326514/cover/22caf762-a466-47fd-8d21-1f70ee2d91aa,비전공자를 위한 넓고 얇은 IT 지식 & 나의 개발 유형 알아보기! <M.B.I.T>,https://www.inflearn.com/course/%EA%B0%9C%EB%B0%9C-%EC%9C%A0%ED%98%95-%ED%85%8C%EC%8A%A4%ED%8A%B8,data-analysis
32,https://cdn.inflearn.com/public/courses/326383/cover/4c038b06-8afa-4ae8-b14a-5ed22cfabce0/326383-eng.png,파이썬 증권 데이터 수집과 분석으로 신호와 소음 찾기,https://www.inflearn.com/course/%EC%A6%9D%EA%B6%8C%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%88%98%EC%A7%91-%EB%B6%84%EC%84%9D,data-analysis
33,https://cdn.inflearn.com/public/courses/324858/cover/ea79a3dc-c1e5-488e-b750-1cbf75c55234,15일간의 빅데이터 파일럿 프로젝트,https://www.inflearn.com/course/%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0-%ED%8C%8C%EC%9D%BC%EB%9F%BF-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8,data-analysis
34,https://cdn.inflearn.com/public/courses/324082/course_cover/91ab047b-c7f9-4e81-956d-da1bcc3c2c68/ljh_python.png,파이썬입문과 크롤링기초 부트캠프 (2022 업데이트) [쉽게! 견고한 자료까지!],https://www.inflearn.com/course/python-crawling-basic,data-analysis
35,https://cdn.inflearn.com/public/courses/328189/cover/ba68a3f9-1c62-4d70-a4d9-9e3436ae4ee0/328189-eng.png,"일잘하는 마케터, MD에게 꼭 필요한 파이썬 데이터 분석",https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%EB%A7%88%EC%BC%80%ED%84%B0,data-analysis
